group,x,mev_per_s,false_per_s,nn_drop_pct
window1000,2,0.024,1105.91,0
window1000,3,0.023,82.75,0
window1000,4,0.021,1.00,0
window1000,5,0.021,0.00,0
window1000,6,0.022,0.00,0
window1000,8,0.021,0.00,0
window1000,10,0.021,0.00,0
window10000,2,0.023,2582.39,0
window10000,3,0.023,1473.89,0
window10000,4,0.023,701.91,0
window10000,5,0.022,231.34,0
window10000,6,0.020,50.63,0
window10000,8,0.019,2.49,0
window10000,10,0.020,0.00,0
window100000,2,0.021,2795.16,0
window100000,3,0.021,2307.97,0
window100000,4,0.020,1877.28,0
window100000,5,0.020,1593.16,0
window100000,6,0.020,1373.03,0
window100000,8,0.020,1040.79,0
window100000,10,0.020,762.56,0
nnfilter,0,0.020,2354.94,0
nnfilter,100,0.020,0.00,99.7
nnfilter,200,0.020,0.25,99.6
nnfilter,500,0.020,0.25,99.5
nnfilter,1000,0.020,1.99,99.4
nnfilter,5000,0.020,34.67,98.2
bias_diff_on,374,0.043,2459.91,0
bias_diff_on,384,0.022,1447.09,0
bias_diff_on,420,0.014,768.21,0
bias_diff_on,460,0.013,629.54,0
bias_diff_on,500,0.013,682.97,0
bias_diff_on,600,0.014,720.35,0
bias_fo,1250,52.365,21742.62,0
bias_fo,1400,0.389,10784.39,0
bias_fo,1477,0.023,1484.04,0
bias_fo,1600,0.000,0.00,0
bias_fo,1700,0.003,59.83,0
bias_fo,1800,0.001,39.13,0
bias_pr,975,0.011,616.67,0
bias_pr,1100,0.021,1363.70,0
bias_pr,1250,0.021,1388.28,0
bias_pr,1400,0.070,3407.40,0
bias_pr,1600,3.223,10686.16,0
bias_pr,1800,3.059,10043.11,0
